cause_medium,year,age_name,sex,measure,nm_mean
Hypertensive heart disease,2010,40-44 years,Males,death,504.316
Hypertensive heart disease,2010,45-49 years,Males,death,952.239
Hypertensive heart disease,2010,50-54 years,Males,death,1394.95
Hypertensive heart disease,2010,55-59 years,Males,death,1569.43
Hypertensive heart disease,2010,60-64 years,Males,death,1729.7
Hypertensive heart disease,2010,65-69 years,Males,death,1572.93
Hypertensive heart disease,2010,70-74 years,Males,death,1538.41
Hypertensive heart disease,2010,75-79 years,Males,death,1749.32
Hypertensive heart disease,2010,80+ years,Males,death,6812.66
Hypertensive heart disease,2010,All ages,Males,death,18333.9
Hypertensive heart disease,2010,5-14 years,Males,death,5.98932
Hypertensive heart disease,2010,Under 5 years,Females,death,6.95082
Hypertensive heart disease,2010,15-19 years,Females,death,3.72049
Hypertensive heart disease,2010,20-24 years,Females,death,8.90557
Hypertensive heart disease,2010,25-29 years,Females,death,19.5044
Hypertensive heart disease,2010,30-34 years,Females,death,39.2142
Hypertensive heart disease,2010,35-39 years,Females,death,86.3911
Hypertensive heart disease,2010,40-44 years,Females,death,221.265
Hypertensive heart disease,2010,45-49 years,Females,death,433.441
Hypertensive heart disease,2010,50-54 years,Females,death,635.956
Hypertensive heart disease,2010,55-59 years,Females,death,815.33
Hypertensive heart disease,2010,60-64 years,Females,death,1083.4
Hypertensive heart disease,2010,65-69 years,Females,death,1233.15
Hypertensive heart disease,2010,70-74 years,Females,death,1599.64
Hypertensive heart disease,2010,75-79 years,Females,death,2356.76
Hypertensive heart disease,2010,80+ years,Females,death,17829.4
Hypertensive heart disease,2010,All ages,Females,death,26376.1
Hypertensive heart disease,2010,5-14 years,Females,death,3.04993
COPD,2010,Under 5 years,Males,death,30.0612
COPD,2010,15-19 years,Males,death,7.34941
COPD,2010,20-24 years,Males,death,12.5735
COPD,2010,25-29 years,Males,death,16.0866
COPD,2010,30-34 years,Males,death,20.7479
COPD,2010,35-39 years,Males,death,50.2813
COPD,2010,40-44 years,Males,death,163.247
COPD,2010,45-49 years,Males,death,524.328
COPD,2010,50-54 years,Males,death,1331.76
COPD,2010,55-59 years,Males,death,2469.6
COPD,2010,60-64 years,Males,death,4774.79
COPD,2010,65-69 years,Males,death,6879.78
COPD,2010,70-74 years,Males,death,9290.76
COPD,2010,75-79 years,Males,death,11940.6
COPD,2010,80+ years,Males,death,34914.6
COPD,2010,All ages,Males,death,72433.4
COPD,2010,5-14 years,Males,death,6.82327
COPD,2010,Under 5 years,Females,death,18.2055
COPD,2010,15-19 years,Females,death,6.2797
COPD,2010,20-24 years,Females,death,7.55659
COPD,2010,25-29 years,Females,death,13.5298
COPD,2010,30-34 years,Females,death,21.868
COPD,2010,35-39 years,Females,death,45.3002
COPD,2010,40-44 years,Females,death,178.139
COPD,2010,45-49 years,Females,death,538.496
COPD,2010,50-54 years,Females,death,1240.61
COPD,2010,55-59 years,Females,death,2295.48
COPD,2010,60-64 years,Females,death,4562.98
COPD,2010,65-69 years,Females,death,6735.71
COPD,2010,70-74 years,Females,death,9160.88
COPD,2010,75-79 years,Females,death,11752.9
COPD,2010,80+ years,Females,death,45477.3
COPD,2010,All ages,Females,death,82061
COPD,2010,5-14 years,Females,death,5.75799
Asthma,2010,Under 5 years,Males,death,21.6835
Asthma,2010,15-19 years,Males,death,40.7902
Asthma,2010,20-24 years,Males,death,48.9169
Asthma,2010,25-29 years,Males,death,50.0554
Asthma,2010,30-34 years,Males,death,43.4786
Asthma,2010,35-39 years,Males,death,51.8254
Asthma,2010,40-44 years,Males,death,67.3708
Asthma,2010,45-49 years,Males,death,97.0666
Asthma,2010,50-54 years,Males,death,118.825
Asthma,2010,55-59 years,Males,death,108.671
Asthma,2010,60-64 years,Males,death,113.033
Asthma,2010,65-69 years,Males,death,110.505
Asthma,2010,70-74 years,Males,death,101.914
Asthma,2010,75-79 years,Males,death,110.518
Asthma,2010,80+ years,Males,death,357.268
Asthma,2010,All ages,Males,death,1503.35
Asthma,2010,5-14 years,Males,death,61.4293
Asthma,2010,Under 5 years,Females,death,15.0853
Asthma,2010,15-19 years,Females,death,27.9758
Asthma,2010,20-24 years,Females,death,31.1086
Asthma,2010,25-29 years,Females,death,33.2662
Asthma,2010,30-34 years,Females,death,43.1831
Asthma,2010,35-39 years,Females,death,59.9704
Asthma,2010,40-44 years,Females,death,96.6322
Asthma,2010,45-49 years,Females,death,151.983
Asthma,2010,50-54 years,Females,death,180.01
Asthma,2010,55-59 years,Females,death,174.741
Asthma,2010,60-64 years,Females,death,184.359
Asthma,2010,65-69 years,Females,death,161.335
Asthma,2010,70-74 years,Females,death,171.161
Asthma,2010,75-79 years,Females,death,185.752
Asthma,2010,80+ years,Females,death,940.935
Asthma,2010,All ages,Females,death,2492.27
Asthma,2010,5-14 years,Females,death,34.7758
Other respiratory diseases,2010,Under 5 years,Males,death,133.685
Other respiratory diseases,2010,15-19 years,Males,death,12.9299
Other respiratory diseases,2010,20-24 years,Males,death,14.0384
Other respiratory diseases,2010,25-29 years,Males,death,11.2931
Other respiratory diseases,2010,30-34 years,Males,death,14.4478
Other respiratory diseases,2010,35-39 years,Males,death,19.9853
Other respiratory diseases,2010,40-44 years,Males,death,35.9184
Other respiratory diseases,2010,45-49 years,Males,death,58.9939
Other respiratory diseases,2010,50-54 years,Males,death,98.4861
Other respiratory diseases,2010,55-59 years,Males,death,135.98
Other respiratory diseases,2010,60-64 years,Males,death,211.587
Other respiratory diseases,2010,65-69 years,Males,death,253.604
Other respiratory diseases,2010,70-74 years,Males,death,295.823
Other respiratory diseases,2010,75-79 years,Males,death,378.575
Other respiratory diseases,2010,80+ years,Males,death,1209.51
Other respiratory diseases,2010,All ages,Males,death,2901.22
Other respiratory diseases,2010,5-14 years,Males,death,16.3585
Other respiratory diseases,2010,Under 5 years,Females,death,89.8765
Other respiratory diseases,2010,15-19 years,Females,death,8.32628
Other respiratory diseases,2010,20-24 years,Females,death,9.67169
Other respiratory diseases,2010,25-29 years,Females,death,10.2427
Other respiratory diseases,2010,30-34 years,Females,death,13.7178
Other respiratory diseases,2010,35-39 years,Females,death,18.4705
Other respiratory diseases,2010,40-44 years,Females,death,30.211
Other respiratory diseases,2010,45-49 years,Females,death,52.1622
Other respiratory diseases,2010,50-54 years,Females,death,87.2294
Other respiratory diseases,2010,55-59 years,Females,death,118.665
Other respiratory diseases,2010,60-64 years,Females,death,188.085
Other respiratory diseases,2010,65-69 years,Females,death,210.136
Other respiratory diseases,2010,70-74 years,Females,death,256.18
Other respiratory diseases,2010,75-79 years,Females,death,335.832
Other respiratory diseases,2010,80+ years,Females,death,1663.77
Other respiratory diseases,2010,All ages,Females,death,3104.54
Other respiratory diseases,2010,5-14 years,Females,death,11.9597
Alzheimers disease,2010,15-19 years,Males,death,6.79793
Alzheimers disease,2010,20-24 years,Males,death,6.63738
Alzheimers disease,2010,25-29 years,Males,death,5.62822
Alzheimers disease,2010,30-34 years,Males,death,6.58873
Alzheimers disease,2010,35-39 years,Males,death,10.6389
Alzheimers disease,2010,40-44 years,Males,death,23.459
Alzheimers disease,2010,45-49 years,Males,death,51.788
Alzheimers disease,2010,50-54 years,Males,death,137.537
Alzheimers disease,2010,55-59 years,Males,death,332.293
Alzheimers disease,2010,60-64 years,Males,death,781.533
Alzheimers disease,2010,65-69 years,Males,death,1464.89
Alzheimers disease,2010,70-74 years,Males,death,3177.27
Alzheimers disease,2010,75-79 years,Males,death,6500.75
Alzheimers disease,2010,80+ years,Males,death,38971.6
Alzheimers disease,2010,All ages,Males,death,51496.8
Alzheimers disease,2010,5-14 years,Males,death,19.4324
Alzheimers disease,2010,15-19 years,Females,death,4.93537
Alzheimers disease,2010,20-24 years,Females,death,4.59232
Alzheimers disease,2010,25-29 years,Females,death,3.85687
Alzheimers disease,2010,30-34 years,Females,death,5.80927
Alzheimers disease,2010,35-39 years,Females,death,9.21666
Alzheimers disease,2010,40-44 years,Females,death,16.9774
Alzheimers disease,2010,45-49 years,Females,death,47.6836
Alzheimers disease,2010,50-54 years,Females,death,120.339
Alzheimers disease,2010,55-59 years,Females,death,317.472
Alzheimers disease,2010,60-64 years,Females,death,741.496
Alzheimers disease,2010,65-69 years,Females,death,1441.17
Alzheimers disease,2010,70-74 years,Females,death,3376.04
Alzheimers disease,2010,75-79 years,Females,death,8097.36
Alzheimers disease,2010,80+ years,Females,death,92582.4
Alzheimers disease,2010,All ages,Females,death,106784
Alzheimers disease,2010,5-14 years,Females,death,15.0872
Diabetes,2010,Under 5 years,Males,death,13.9099
Diabetes,2010,15-19 years,Males,death,25.9951
Diabetes,2010,20-24 years,Males,death,68.6674
Diabetes,2010,25-29 years,Males,death,142.316
Diabetes,2010,30-34 years,Males,death,242.893
Diabetes,2010,35-39 years,Males,death,402.911
Diabetes,2010,40-44 years,Males,death,743.04
Diabetes,2010,45-49 years,Males,death,1377.9
Diabetes,2010,50-54 years,Males,death,2250.4
Diabetes,2010,55-59 years,Males,death,3181.99
Diabetes,2010,60-64 years,Males,death,4274.84
Diabetes,2010,65-69 years,Males,death,4525.76
